street_abbrev	street_type
ST	STREET
RD	ROAD
AVE	AVENUE
DR	DRIVE
PL	PLACE
CRES	CRESCENT
CL	CLOSE
PDE	PARADE
HWY	HIGHWAY
WAY	WAY
CCT	CIRCUIT
LN	LANE
CT	COURT
GR	GROVE
BVD	BOULEVARD
TCE	TERRACE
CIR	CIRCLE
PKWY	PARKWAY
ESP	ESPLANADE
GDNS	GARDENS
SQ	SQUARE
CH	CHASE
CNR	CORNER
RDGE	RIDGE
GDN	GARDEN
ACCS	ACCESS
RDWY	ROADWAY
DVE	DRIVE
DRWY	DRIVEWAY
TRL	TRAIL
RTT	RETREAT
EST	ESTATE
RVR	RIVER
TRK	TRACK
GLD	GLADE
GRN	GREEN
DPS	ROAD
CRST	CREST
CR	CRESCENT
PHWY	PATHWAY
PNT	POINT
RTE	ROUTE
GTE	GATE
GRA	GRANGE
BLVDE	BOULEVARD
BVDE	BOULEVARD
BLVD	BOULEVARD
AV	AVENUE
